pattern,transformation,instances,consistency,confidence
CONST-MOV::CONST-FRONT→CONST-FRONT,CONST-FRONT,10743,1.0,1.0
TED-SIMPLE::10→10,10,997,1.0,1.0
CLAUSE-TYPE-CHG::Fin→Part,Part,986,1.0,1.0
FW-DEL::ABSENT→ART-DEL,ART-DEL,920,1.0,1.0
FW-DEL::ABSENT→AUX-DEL,AUX-DEL,844,1.0,1.0
CONST-MOV::CONST-POST→CONST-POST,CONST-POST,742,1.0,1.0
CLAUSE-TYPE-CHG::Part→Fin,Fin,631,1.0,1.0
CLAUSE-TYPE-CHG::Inf→Fin,Fin,507,1.0,1.0
C-ADD::NOUN-ADD→ABSENT,ABSENT,379,1.0,1.0
CLAUSE-TYPE-CHG::Fin→Inf,Inf,363,1.0,1.0
C-DEL::ABSENT→NOUN-DEL,NOUN-DEL,340,1.0,1.0
DEP-REL-CHG::compound→det,det,272,1.0,1.0
C-DEL::ABSENT→VERB-DEL,VERB-DEL,264,1.0,1.0
DEP-REL-CHG::root→nsubj,nsubj,212,1.0,1.0
DEP-REL-CHG::root→aux,aux,176,1.0,1.0
DEP-REL-CHG::obl→case,case,167,1.0,1.0
FW-DEL::ABSENT→ADP-DEL,ADP-DEL,167,1.0,1.0
DEP-REL-CHG::compound→case,case,153,1.0,1.0
DEP-REL-CHG::case→root,root,143,1.0,1.0
DEP-REL-CHG::nsubj→det,det,136,1.0,1.0
DEP-REL-CHG::nmod→case,case,135,1.0,1.0
CONST-REM::ABSENT→SBAR-REM,SBAR-REM,130,1.0,1.0
CLAUSE-TYPE-CHG::Ger→Fin,Fin,116,1.0,1.0
DEP-REL-CHG::case→det,det,115,1.0,1.0
FW-DEL::ABSENT→PRON-PERS-DEL,PRON-PERS-DEL,111,1.0,1.0
DEP-REL-CHG::punct→obl,obl,107,1.0,1.0
DEP-REL-CHG::case→obj,obj,106,1.0,1.0
C-DEL::ABSENT→ADJ-DEL,ADJ-DEL,106,1.0,1.0
DEP-REL-CHG::nsubj→compound,compound,104,1.0,1.0
DEP-REL-CHG::obj→root,root,104,1.0,1.0
FW-DEL::ABSENT→SCONJ-DEL,SCONJ-DEL,101,1.0,1.0
FW-DEL::ABSENT→CCONJ-DEL,CCONJ-DEL,98,1.0,1.0
TED-KLEIN::10→10,10,95,1.0,1.0
DEP-REL-CHG::amod→det,det,94,1.0,1.0
C-ADD::VERB-ADD→ABSENT,ABSENT,93,1.0,1.0
DEP-REL-CHG::punct→case,case,86,1.0,1.0
DEP-REL-CHG::amod→case,case,84,1.0,1.0
DEP-REL-CHG::compound→punct,punct,84,1.0,1.0
DEP-REL-CHG::obj→compound,compound,83,1.0,1.0
DEP-REL-CHG::case→compound,compound,81,1.0,1.0
TED-KLEIN::14→14,14,81,1.0,1.0
DEP-REL-CHG::root→case,case,80,1.0,1.0
FW-ADD::ADP-ADD→ABSENT,ABSENT,79,1.0,1.0
DEP-REL-CHG::obl→det,det,78,1.0,1.0
TED-KLEIN::16→16,16,76,1.0,1.0
CLAUSE-TYPE-CHG::Fin→Ger,Ger,76,1.0,1.0
DEP-REL-CHG::punct→compound,compound,76,1.0,1.0
DEP-REL-CHG::compound→root,root,75,1.0,1.0
TED-KLEIN::12→12,12,75,1.0,1.0
DEP-REL-CHG::obj→det,det,73,1.0,1.0
DEP-REL-CHG::punct→det,det,72,1.0,1.0
DEP-REL-CHG::root→det,det,72,1.0,1.0
DEP-REL-CHG::case→nsubj,nsubj,71,1.0,1.0
DEP-REL-CHG::obl→compound,compound,66,1.0,1.0
DEP-REL-CHG::mark→aux,aux,66,1.0,1.0
DEP-REL-CHG::case→aux,aux,65,1.0,1.0
DEP-REL-CHG::compound→amod,amod,64,1.0,1.0
DEP-REL-CHG::root→nsubj:pass,nsubj:pass,63,1.0,1.0
DEP-REL-CHG::nmod→det,det,62,1.0,1.0
TED-RTED::11→11,11,61,1.0,1.0
TED-RTED::8→8,8,61,1.0,1.0
DEP-REL-CHG::compound→nsubj,nsubj,60,1.0,1.0
DEP-REL-CHG::case→aux:pass,aux:pass,60,1.0,1.0
HEAD-CHG::2→3,3,58,1.0,1.0
DEP-REL-CHG::case→obl,obl,58,1.0,1.0
C-ADD::ADJ-ADD→ABSENT,ABSENT,58,1.0,1.0
DEP-REL-CHG::nsubj→amod,amod,57,1.0,1.0
DEP-REL-CHG::amod→punct,punct,57,1.0,1.0
DEP-REL-CHG::amod→root,root,57,1.0,1.0
DEP-REL-CHG::case→nmod:poss,nmod:poss,57,1.0,1.0
DEP-REL-CHG::obl→root,root,57,1.0,1.0
DEP-REL-CHG::root→compound,compound,56,1.0,1.0
TED-RTED::13→13,13,53,1.0,1.0
TED-KLEIN::18→18,18,53,1.0,1.0
TED-RTED::12→12,12,53,1.0,1.0
TED-ZHANG-SHASHA::8→8,8,52,1.0,1.0
DEP-REL-CHG::case→amod,amod,52,1.0,1.0
TED-ZHANG-SHASHA::10→10,10,51,1.0,1.0
DEP-REL-CHG::case→nsubj:pass,nsubj:pass,51,1.0,1.0
DEP-REL-CHG::obj→aux,aux,51,1.0,1.0
DEP-REL-CHG::nmod→compound,compound,51,1.0,1.0
DEP-REL-CHG::case→punct,punct,51,1.0,1.0
TED-RTED::10→10,10,51,1.0,1.0
TED-RTED::16→16,16,50,1.0,1.0
TED-ZHANG-SHASHA::11→11,11,50,1.0,1.0
TED-ZHANG-SHASHA::15→15,15,50,1.0,1.0
TED-RTED::15→15,15,50,1.0,1.0
DEP-REL-CHG::obl→obj,obj,50,1.0,1.0
TED-RTED::14→14,14,50,1.0,1.0
DEP-REL-CHG::nsubj→punct,punct,49,1.0,1.0
CLAUSE-TYPE-CHG::verbless→verbal,verbal,49,1.0,1.0
TED-ZHANG-SHASHA::12→12,12,49,1.0,1.0
TED-ZHANG-SHASHA::6→6,6,48,1.0,1.0
TED-RTED::6→6,6,47,1.0,1.0
FEAT-CHG::Tense=Pres→Tense=Past,Tense=Past,46,1.0,1.0
