pattern,transformation,instances,consistency,confidence
CONST-MOV::CONST-FRONT→CONST-FRONT::None::None::None,CONST-FRONT,21486,1.0,1.0
CONST-MOV::CONST-FRONT→CONST-FRONT::None::None::None::None,CONST-FRONT,10743,1.0,1.0
CONST-MOV::CONST-FRONT→CONST-FRONT::None::None::None::None::None::None::None::None::None::None,CONST-FRONT,10743,1.0,1.0
TED-SIMPLE::10→10::None::None::None,10,1994,1.0,1.0
CLAUSE-TYPE-CHG::Fin→Part::None::None::None,Part,1972,1.0,1.0
FW-DEL::ABSENT→ART-DEL::None::None::None,ART-DEL,1840,1.0,1.0
FW-DEL::ABSENT→AUX-DEL::None::None::None,AUX-DEL,1688,1.0,1.0
CONST-MOV::CONST-POST→CONST-POST::None::None::None,CONST-POST,1484,1.0,1.0
CLAUSE-TYPE-CHG::Part→Fin::None::None::None,Fin,1262,1.0,1.0
CLAUSE-TYPE-CHG::Inf→Fin::None::None::None,Fin,1014,1.0,1.0
TED-SIMPLE::10→10::None::None::None::None,10,997,1.0,1.0
TED-SIMPLE::10→10::None::None::None::None::None::None::None::None::None::None,10,997,1.0,1.0
CLAUSE-TYPE-CHG::Fin→Part::None::None::None::None,Part,986,1.0,1.0
CLAUSE-TYPE-CHG::Fin→Part::None::None::None::None::None::None::None::None::None::None,Part,986,1.0,1.0
FW-DEL::ABSENT→ART-DEL::None::None::None::None,ART-DEL,920,1.0,1.0
FW-DEL::ABSENT→ART-DEL::None::None::None::None::None::None::None::None::None::None,ART-DEL,920,1.0,1.0
FW-DEL::ABSENT→AUX-DEL::None::None::None::None,AUX-DEL,844,1.0,1.0
FW-DEL::ABSENT→AUX-DEL::None::None::None::None::None::None::None::None::None::None,AUX-DEL,844,1.0,1.0
C-ADD::NOUN-ADD→ABSENT::None::None::None,ABSENT,758,1.0,1.0
CONST-MOV::CONST-POST→CONST-POST::None::None::None::None,CONST-POST,742,1.0,1.0
CONST-MOV::CONST-POST→CONST-POST::None::None::None::None::None::None::None::None::None::None,CONST-POST,742,1.0,1.0
CLAUSE-TYPE-CHG::Fin→Inf::None::None::None,Inf,726,1.0,1.0
C-DEL::ABSENT→NOUN-DEL::None::None::None,NOUN-DEL,680,1.0,1.0
CLAUSE-TYPE-CHG::Part→Fin::None::None::None::None,Fin,631,1.0,1.0
CLAUSE-TYPE-CHG::Part→Fin::None::None::None::None::None::None::None::None::None::None,Fin,631,1.0,1.0
DEP-REL-CHG::compound→det::None::None::None,det,544,1.0,1.0
C-DEL::ABSENT→VERB-DEL::None::None::None,VERB-DEL,528,1.0,1.0
CLAUSE-TYPE-CHG::Inf→Fin::None::None::None::None,Fin,507,1.0,1.0
CLAUSE-TYPE-CHG::Inf→Fin::None::None::None::None::None::None::None::None::None::None,Fin,507,1.0,1.0
DEP-REL-CHG::root→nsubj::None::None::None,nsubj,424,1.0,1.0
C-ADD::NOUN-ADD→ABSENT::None::None::None::None,ABSENT,379,1.0,1.0
C-ADD::NOUN-ADD→ABSENT::None::None::None::None::None::None::None::None::None::None,ABSENT,379,1.0,1.0
CLAUSE-TYPE-CHG::Fin→Inf::None::None::None::None,Inf,363,1.0,1.0
CLAUSE-TYPE-CHG::Fin→Inf::None::None::None::None::None::None::None::None::None::None,Inf,363,1.0,1.0
DEP-REL-CHG::root→aux::None::None::None,aux,352,1.0,1.0
C-DEL::ABSENT→NOUN-DEL::None::None::None::None,NOUN-DEL,340,1.0,1.0
C-DEL::ABSENT→NOUN-DEL::None::None::None::None::None::None::None::None::None::None,NOUN-DEL,340,1.0,1.0
DEP-REL-CHG::obl→case::None::None::None,case,334,1.0,1.0
