pattern,transformation,instances,consistency,confidence
CONST-MOV::CONST-FRONT→CONST-FRONT::None,CONST-FRONT,10743,1.0,1.0
TED-SIMPLE::10→10::None,10,997,1.0,1.0
CLAUSE-TYPE-CHG::Fin→Part::None,Part,986,1.0,1.0
FW-DEL::ABSENT→ART-DEL::None,ART-DEL,920,1.0,1.0
FW-DEL::ABSENT→AUX-DEL::None,AUX-DEL,844,1.0,1.0
CONST-MOV::CONST-POST→CONST-POST::None,CONST-POST,742,1.0,1.0
CLAUSE-TYPE-CHG::Part→Fin::None,Fin,631,1.0,1.0
CLAUSE-TYPE-CHG::Inf→Fin::None,Fin,507,1.0,1.0
C-ADD::NOUN-ADD→ABSENT::None,ABSENT,379,1.0,1.0
CLAUSE-TYPE-CHG::Fin→Inf::None,Inf,363,1.0,1.0
C-DEL::ABSENT→NOUN-DEL::None,NOUN-DEL,340,1.0,1.0
DEP-REL-CHG::compound→det::None,det,272,1.0,1.0
C-DEL::ABSENT→VERB-DEL::None,VERB-DEL,264,1.0,1.0
DEP-REL-CHG::root→nsubj::None,nsubj,212,1.0,1.0
DEP-REL-CHG::root→aux::None,aux,176,1.0,1.0
DEP-REL-CHG::obl→case::None,case,167,1.0,1.0
FW-DEL::ABSENT→ADP-DEL::None,ADP-DEL,167,1.0,1.0
DEP-REL-CHG::compound→case::None,case,153,1.0,1.0
DEP-REL-CHG::case→root::None,root,143,1.0,1.0
DEP-REL-CHG::nsubj→det::None,det,136,1.0,1.0
DEP-REL-CHG::nmod→case::None,case,135,1.0,1.0
CONST-REM::ABSENT→SBAR-REM::None,SBAR-REM,130,1.0,1.0
CLAUSE-TYPE-CHG::Ger→Fin::None,Fin,116,1.0,1.0
DEP-REL-CHG::case→det::None,det,115,1.0,1.0
FW-DEL::ABSENT→PRON-PERS-DEL::None,PRON-PERS-DEL,111,1.0,1.0
DEP-REL-CHG::punct→obl::None,obl,107,1.0,1.0
DEP-REL-CHG::case→obj::None,obj,106,1.0,1.0
C-DEL::ABSENT→ADJ-DEL::None,ADJ-DEL,106,1.0,1.0
DEP-REL-CHG::nsubj→compound::None,compound,104,1.0,1.0
DEP-REL-CHG::obj→root::None,root,104,1.0,1.0
FW-DEL::ABSENT→SCONJ-DEL::None,SCONJ-DEL,101,1.0,1.0
FW-DEL::ABSENT→CCONJ-DEL::None,CCONJ-DEL,98,1.0,1.0
TED-KLEIN::10→10::None,10,95,1.0,1.0
DEP-REL-CHG::amod→det::None,det,94,1.0,1.0
C-ADD::VERB-ADD→ABSENT::None,ABSENT,93,1.0,1.0
DEP-REL-CHG::punct→case::None,case,86,1.0,1.0
DEP-REL-CHG::amod→case::None,case,84,1.0,1.0
DEP-REL-CHG::compound→punct::None,punct,84,1.0,1.0
DEP-REL-CHG::obj→compound::None,compound,83,1.0,1.0
DEP-REL-CHG::case→compound::None,compound,81,1.0,1.0
TED-KLEIN::14→14::None,14,81,1.0,1.0
DEP-REL-CHG::root→case::None,case,80,1.0,1.0
FW-ADD::ADP-ADD→ABSENT::None,ABSENT,79,1.0,1.0
DEP-REL-CHG::obl→det::None,det,78,1.0,1.0
TED-KLEIN::16→16::None,16,76,1.0,1.0
CLAUSE-TYPE-CHG::Fin→Ger::None,Ger,76,1.0,1.0
DEP-REL-CHG::punct→compound::None,compound,76,1.0,1.0
