Newspaper,Feature,Transformations,Unique Patterns,Avg Consistency,Top Pattern,Top Frequency
Times-of-India,Mood,0,5,0.0%,Mood::Ind→ABSENT@VERB,596
Hindustan-Times,Mood,0,2,0.0%,Mood::Ind→ABSENT@VERB,1888
The-Hindu,Mood,0,6,0.0%,Mood::Imp→ABSENT@VERB,264
Times-of-India,Number,0,11,0.0%,Number::ABSENT→Sing@VERB,1348
Hindustan-Times,Number,0,14,0.0%,Number::ABSENT→Sing@VERB,2445
The-Hindu,Number,0,11,0.0%,Number::ABSENT→Sing@VERB,418
Times-of-India,Person,0,6,0.0%,Person::1→ABSENT@VERB,389
Hindustan-Times,Person,0,3,0.0%,Person::1→ABSENT@VERB,1375
The-Hindu,Person,0,8,0.0%,Person::ABSENT→3@NOUN,128
Times-of-India,Tense,0,6,0.0%,Tense::Past→ABSENT@VERB,809
Hindustan-Times,Tense,0,3,0.0%,Tense::Past→ABSENT@VERB,1830
The-Hindu,Tense,0,10,0.0%,Tense::Past→ABSENT@VERB,286
Times-of-India,VerbForm,0,10,0.0%,VerbForm::Fin→ABSENT@VERB,1139
Hindustan-Times,VerbForm,0,6,0.0%,VerbForm::Fin→ABSENT@VERB,2801
The-Hindu,VerbForm,0,16,0.0%,VerbForm::Part→ABSENT@VERB,398
Times-of-India,Voice,0,1,0.0%,Voice::Pass→ABSENT@VERB,582
Hindustan-Times,Voice,0,1,0.0%,Voice::Pass→ABSENT@VERB,805
The-Hindu,Voice,0,5,0.0%,Voice::Pass→ABSENT@VERB,262
