Newspaper,Analysis_Type,Aspect,Perplexity,Normalized_PP,Entropy,Num_Types,Num_Tokens
Times-of-India,Mono-Register,Event Types,7.034244150317217,1.0973462592851422,2.8143954100753876,21,33494
Times-of-India,Mono-Register,Canonical Values,28.05941495179075,1.014731686280156,4.81041302348347,228,33494
Times-of-India,Mono-Register,Headline Values,24.00960827708806,1.014100487562333,4.585539960708394,227,33494
Times-of-India,Cross-Register,Value Transformations,78.33856624931944,1.0036286940945855,6.2916508192453975,1204,33494
Times-of-India,Cross-Register,Feature Transformations,87.25081913762867,1.0033937571314253,6.447096770739707,1319,33494
Times-of-India,Cross-Register,Morph Transformations,27.942338646899376,1.0636105673500145,4.80438086771376,54,13905
Hindustan-Times,Mono-Register,Event Types,5.845496511810162,1.1030652145262991,2.547325571327297,18,37272
Hindustan-Times,Mono-Register,Canonical Values,24.616437590512554,1.0186893461986317,4.621550089757385,173,37272
Hindustan-Times,Mono-Register,Headline Values,18.620423335696263,1.0174538771597619,4.218813967857481,169,37272
Hindustan-Times,Cross-Register,Value Transformations,68.84619544965325,1.0037289007841592,6.105305025826028,1137,37272
Hindustan-Times,Cross-Register,Feature Transformations,69.16592259528674,1.00364938428497,6.111989505409074,1163,37272
Hindustan-Times,Cross-Register,Morph Transformations,22.41625756153948,1.0808466422022203,4.486473532348897,40,26236
The-Hindu,Mono-Register,Event Types,6.692372628615417,1.111387638258359,2.74251777629212,18,17967
The-Hindu,Mono-Register,Canonical Values,26.86436322376805,1.0196630127216662,4.747621736587716,169,17967
The-Hindu,Mono-Register,Headline Values,21.011261429534322,1.0186262444143426,4.393090872962296,165,17967
The-Hindu,Cross-Register,Value Transformations,69.1302313209502,1.0050737506041711,6.111244848031795,837,17967
The-Hindu,Cross-Register,Feature Transformations,70.5018828558582,1.004926227431136,6.139589882193637,866,17967
The-Hindu,Cross-Register,Morph Transformations,38.482521373187666,1.0606418677240808,5.266131422410719,62,6426
