rule_count,rule_type,coverage_pct,coverage_events,accuracy_pct,f1_score,efficiency,weighted_f1
1,default,29.532032032032028,11801,91.16965389369591,44.61288371389687,29.532032032032028,64.36278609379501
2,syntactic,36.96446446446446,14771,92.94516861414294,52.89320431383631,18.48223223223223,48.145469388441654
3,default,42.88538538538538,17137,90.30179256719144,58.153153100278736,14.295128461795128,41.94863279491439
4,default,47.5975975975976,19020,83.98522262554931,60.76013303098881,11.8993993993994,37.75239328064274
5,default,52.232232232232235,20872,82.18796902382476,63.872260934507224,10.446446446446448,35.64778756940258
6,default,55.350350350350354,22118,82.55743521762064,66.2701231043904,9.225058391725058,34.056106411985546
7,syntactic,58.008008008008005,23180,83.3565725687374,68.40962155244195,8.286858286858287,32.898073920932916
8,syntactic,60.347847847847845,24115,84.00188066113759,70.23681672883575,7.543480980980981,31.96615286999318
9,syntactic,62.51001001001001,24979,84.55524048774303,71.88032402485695,6.94555666777889,31.217228081413108
10,default,64.66716716716718,25841,85.07044433819641,73.47872841963,6.466716716716718,30.64300983165103
11,syntactic,66.35135135135135,26514,85.44939851185536,74.69901260080621,6.031941031941032,30.061094088656873
12,syntactic,67.64764764764764,27032,85.72822403608069,75.62222961653275,5.637303970637304,29.482932829275857
13,syntactic,68.8013013013013,27493,85.96753181331005,76.4324178116241,5.292407792407792,28.962014941436305
14,syntactic,69.85735735735736,27915,86.17966513141083,77.16481086346937,4.98981123981124,28.49460133053011
15,syntactic,70.73823823823824,28267,86.35176538519592,77.7690701026786,4.715882549215882,28.04926294292014
16,syntactic,71.58658658658659,28606,86.5135059827775,78.34538849783532,4.474161661661662,27.652484646874797
17,syntactic,72.31731731731732,28898,86.64978033577871,78.83744186728329,4.253959842195137,27.275882990452157
18,syntactic,73.03553553553553,29185,86.78106397612929,79.31718608964098,4.057529751974196,26.937962257277064
19,syntactic,73.72622622622622,29461,86.90490316497515,79.77495489439292,3.880327696117169,26.629534153848734
20,default,74.3943943943944,29728,87.02251588210889,80.2144875234729,3.71971971971972,26.347149401682262
21,default,74.9874874874875,29965,87.12515775549251,80.60193783455989,3.570832737499405,26.075972443208773
22,lexical,75.57557557557557,30200,87.22534278620309,80.98364004550761,3.435253435253435,25.828030437463113
23,syntactic,76.07357357357357,30399,87.30896911554107,81.30495677597865,3.3075466771118944,25.583253499226306
24,lexical,76.51401401401401,30575,87.38202296462251,81.58768757245203,3.1880839172505837,25.34664025934977
25,syntactic,76.93693693693695,30744,87.4513840796036,81.857903047788,3.077477477477478,25.124455979900826
26,syntactic,77.35485485485486,30911,87.51917932591418,82.12370671235463,2.9751867251867257,24.917406428527634
